hr,ra,dec,parallax
HR  4886,12 52 27.4988670744,+16 07 20.982598212,8.995 
HR  4887,12 53 21.8944330272,-60 19 42.561114312,0.4436 
HR  4888,12 53 06.9063292060,-48 56 35.926377300,10.3334 
HR  4889,12 53 26.1917026990,-40 10 44.088744732,21.9160 
HR  4890,12 53 48.9198156672,-60 22 34.469837436,0.5061 
HR  4891,12 53 11.1567755256,-03 33 11.151261180,29.9081 
HR  4892,12 49 06.6700877376,+83 25 04.221296940,8.0261 
HR  4893,12 49 13.7347330152,+83 24 46.432131660,7.7658 
HR  4894,12 53 17.74703,+21 14 41.8092,11.52 
HR  4895,12 54 21.9975732000,-58 25 50.215759464,1.3245 
HR  4896,12 53 38.1266121432,-04 13 28.698804804,10.0845 
HR  4897,12 54 39.1827302030,-59 08 48.129223088,8.7730 
HR  4898,12 54 35.6245487,-57 10 40.522525,7.87 
HR  4899,12 54 36.8841589536,-57 10 07.193918388,8.2668 
HR  4900,12 53 49.7172100776,+12 25 06.220936056,17.6538 
HR  4901,12 54 18.6593623080,-11 38 54.851329644,14.0952 
HR  4902,12 54 21.1634176,-09 32 20.378283,5.99 
HR  4903,12 54 58.5434001533,-44 09 06.955051834,26.6304 
HR  4904,12 54 13.0846836024,+33 32 04.126077132,13.6713 
HR  4905,12 54 01.7495922,+55 57 35.362645,39.51 
HR  4906,12 55 19.4317990920,-42 54 56.639555352,4.5482 
HR  4907,12 56 31.6890976200,-72 11 06.767050308,4.4915 
HR  4908,12 55 57.1336250856,-56 50 08.900570292,0.7576 
HR  4909,12 54 56.5204176096,+47 11 48.200441856,4.1725 
HR  4910,12 55 36.2086058,+03 23 50.893225,16.44 
HR  4911,12 55 53.2432290360,-15 19 37.287291684,5.5708 
HR  4912,12 56 30.1302499344,-26 27 37.047715704,0.567 
HR  4913,12 57 04.3514246112,-51 11 55.512895560,7.7665 
HR  4914,12 56 00.4315081824,+38 18 53.469061020,30.6121 
HR  4915,12 56 01.6655889007,+38 19 06.155170512,32.7227 
HR  4916,12 55 28.5485641728,+65 26 18.507128532,33.9667 
HR  4917,12 56 17.56470,+54 05 58.1693,11.54 
HR  4918,12 57 33.1288920456,-22 45 12.597560280,7.9808 
HR  4919,12 57 07.7956211592,+46 10 36.451968780,9.9479 
HR  4920,12 58 55.4429707776,+17 24 33.994292652,9.393 
HR  4921,12 59 39.5341551360,-03 48 42.973025724,13.3246 
HR  4922,13 00 32.6418970320,-33 30 18.347354748,25.4287 
HR  4923,13 02 16.2565714373,-71 32 55.892332795,37.3886 
HR  4924,13 00 16.4694383232,+30 47 06.079456932,5.2918 
HR  4925,13 00 35.9469589944,-03 22 06.556356372,9.6467 
HR  4926,13 00 38.7113944968,+18 22 22.836153036,24.6842 
HR  4927,12 58 47.3396746248,+75 28 21.079377696,6.6147 
HR  4928,12 59 55.0715577048,+66 35 50.167972104,5.1147 
HR  4929,13 01 09.6152814960,+17 07 23.327673312,7.7379 
HR  4930,13 03 05.3358171458,-71 28 32.642280570,2.3566 
HR  4931,13 00 43.69949,+56 21 58.8102,39.30 
HR  4932,13 02 10.5970152536,+10 57 32.935398266,30.2110 
HR  4933,13 03 33.3051109488,-49 31 38.148894300,14.8276 
HR  4934,13 01 46.9268934864,+63 36 36.795618540,27.6253 
HR  4935,13 03 46.11597,-20 35 00.5886,35.45 
HR  4936,13 02 40.4211990864,+59 42 58.701718980,4.8981 
HR  4937,13 03 54.42071,-03 39 47.3243,6.45 
HR  4938,13 04 48.2351409792,-41 11 46.765332528,3.4998 
HR  4939,13 05 30.7780577640,-52 06 56.378405700,2.8994 
HR  4940,13 06 16.7036641232,-48 27 47.846528742,8.1592 
HR  4941,13 06 35.0821484352,-41 35 18.397334724,9.67 
HR  4942,13 06 54.6393973,-49 54 22.482324,6.98 
HR  4943,13 05 44.4355388112,+35 47 56.039769924,9.8367 
HR  4944,13 07 24.29673,-59 51 37.8238,5.88 
HR  4945,13 05 52.2672643344,+45 16 06.788918712,7.6775 
HR  4946,13 06 21.23974,+21 09 12.2343,20.13 
HR  4947,13 06 54.2569004184,-35 51 43.276892652,13.8875 
HR  4948,13 06 10.2489972816,+29 01 45.225330132,10.1298 
HR  4949,13 06 22.6020265896,+22 36 58.273099308,5.4634 
HR  4950,13 04 49.74533,+73 01 29.8959,8.32 
HR  4951,13 07 38.2846328832,-53 27 35.149793112,10.3001 
HR  4952,13 08 07.1531705448,-65 18 21.679426548,0.4613 
HR  4953,13 06 22.8825383256,+62 02 30.725373948,8.9617 
HR  4954,13 07 10.7299222671,+27 37 29.055438610,8.5989 
HR  4955,13 07 53.8128711672,-10 44 25.471334544,11.1498 
HR  4956,13 07 53.6341438152,+27 33 21.440312064,6.9293 
HR  4957,13 08 32.4661100352,-08 59 03.776673768,9.2032 
HR  4958,13 09 03.2659754016,-23 07 04.957919256,14.0296 
HR  4959,13 09 14.2386162936,-09 32 17.153400876,7.4539 
HR  4960,13 09 12.4347591312,+10 01 20.883994536,9.7915 
HR  4961,13 09 45.2812131984,-10 19 45.622835976,4.8532 
HR  4962,13 09 47.8475594496,+16 50 55.004141976,4.7425 
HR  4963,13 09 56.9889385680,-05 32 20.414634792,11.1834 
HR  4964,13 09 38.6511264024,+37 25 23.230395336,9.4397 
HR  4965,13 10 58.4324574120,-52 34 00.832901520,9.2349 
HR  4966,13 11 51.4407949680,-69 56 31.257111552,23.6917 
HR  4967,13 09 42.0320179896,+38 32 01.982639580,3.9234 
HR  4968,13 09 59.285492,+17 31 45.85645,~ 
HR  4969,13 09 59.288719,+17 31 46.24482,~ 
HR  4970,13 11 08.8808922576,-42 13 58.441626948,11.5391 
HR  4971,13 10 03.2160718968,+38 29 56.331420288,16.7285 
HR  4972,13 11 53.0689846728,-63 18 10.791066492,0.5769 
HR  4973,13 11 23.2158812856,-43 22 06.798085068,14.0788 
HR  4974,13 09 50.1748588728,+62 13 44.839853544,4.8962 
HR  4975,13 12 17.59459,-59 55 14.0842,8.61 
HR  4976,13 14 17.3297199240,-78 26 50.836156224,1.5528 
HR  4977,13 12 48.8027594808,-66 13 36.295702644,10.5705 
HR  4978,13 11 39.1980041,-26 33 06.204491,9.04 
HR  4979,13 12 03.1842958709,-37 48 10.879928463,48.8691 
HR  4980,13 12 55.6906601472,-59 48 59.751756180,23.1989 
HR  4981,13 12 03.5431874543,-16 11 54.970689063,29.9003 
HR  4982,13 12 50.8377119616,-42 41 58.998908508,4.5471 
HR  4983,13 11 52.3938268062,+27 52 41.462309460,108.7250 
HR  4984,13 12 08.4047184960,+24 15 28.946670408,7.1124 
HR  4985,13 13 23.35287,-50 41 59.3747,8.91 
HR  4986,13 12 32.9201305680,+11 33 21.958827804,3.9551 
HR  4987,13 12 35.9107681440,+18 45 06.298394616,6.7739 
HR  4988,13 14 12.0868461792,-58 41 02.180651136,9.5714 
HR  4989,13 14 15.1447379904,-59 06 11.654027964,54.8247 
HR  4990,13 13 26.83587,-18 49 35.0580,5.15 
HR  4991,13 13 57.6803521080,-43 08 20.792551596,8.9752 
HR  4992,13 13 12.4044188352,+18 43 37.228326024,7.8596 
HR  4993,13 15 14.9353076188,-67 53 40.529009001,8.7196 
HR  4994,13 15 25.5973574952,-69 40 45.417878616,11.2522 
HR  4995,13 14 10.8951509520,-19 55 51.404410380,26.5757 
HR  4996,13 14 43.2669768240,-48 57 25.309605996,13.1367 
HR  4997,13 13 42.9416937024,+40 09 10.386106164,6.8982 
HR  4998,13 14 31.2834703272,+11 19 53.963882148,6.1924 
HR  4999,13 15 09.4578495840,-36 22 17.076768420,7.7994 
HR  5000,13 16 44.9044614144,-65 08 17.733928668,24.8215 
HR  5001,13 15 58.7708690051,-19 56 35.161303899,26.6876 
HR  5002,13 17 13.0129912632,-66 47 00.380494680,2.5221 
HR  5003,13 13 31.9813770240,+72 47 56.740869636,11.306 
HR  5004,13 15 31.9497751344,+40 51 18.729683928,14.6877 
HR  5005,13 16 25.4834125536,-01 23 25.945922184,7.9918 
HR  5006,13 16 53.1318801144,-31 30 22.324588740,12.5974 
HR  5007,13 16 14.2872629832,+19 03 06.238428804,9.0245 
HR  5008,13 17 13.9311522000,-43 58 46.194632364,17.2139 
HR  5009,13 12 25.4326921804,+80 28 16.708953797,4.6717 
HR  5010,13 16 32.2601594136,+19 47 07.072731852,10.5242 
HR  5011,13 16 46.5148594512,+09 25 26.960139646,56.8577 
HR  5012,13 19 18.9820851096,-72 02 08.179162260,6.5556 
HR  5013,13 17 15.6279440976,+13 40 32.706746400,10.6535 
HR  5014,13 17 29.8510032840,-00 40 33.865038804,14.6197 
HR  5015,13 17 36.2832672,+05 28 11.522114,4.83 
HR  5016,13 18 34.8654803640,-51 17 08.793437280,5.5404 
HR  5017,13 17 32.5411518092,+40 34 21.384382657,12.7783 
HR  5018,13 16 28.6354976256,+68 24 28.793726352,7.3302 
HR  5019,13 18 24.3139864471,-18 18 40.297748582,117.1726 
HR  5020,13 18 55.2976891983,-23 10 17.450424894,25.5286 
HR  5021,13 18 51.1237434269,+03 41 15.478434856,7.5905 
HR  5022,13 18 27.7273842840,+34 05 53.907694800,6.4257 
HR  5023,13 18 14.5095312384,+49 40 55.429204656,11.6984 
HR  5024,13 20 35.0279845944,-59 46 22.016746596,6.9646 
HR  5025,13 19 04.2512105808,+35 07 40.731791772,15.8677 
HR  5026,13 20 37.8253517448,-52 44 52.169369424,8.3902 
HR  5027,13 20 48.3393402216,-55 48 02.482824528,0.5828 
HR  5028,13 20 35.8128156095,-36 42 44.296492410,56.0571 
HR  5029,13 20 57.7004466240,-46 52 48.027849132,8.9821 
HR  5030,13 22 52.6042523475,-72 08 48.182782972,4.2442 
HR  5031,13 20 41.56923,+02 56 32.2455,7.38 
HR  5032,13 20 18.9510975912,+40 09 01.967513472,6.5359 
HR  5033,13 21 29.7697456440,-19 29 21.460941492,11.9778 
HR  5034,13 22 35.8501250304,-60 58 19.594661016,2.4714 
HR  5035,13 22 37.9331015842,-60 59 18.170162109,8.8824 
HR  5036,13 22 16.2861588768,-52 10 58.631374776,0.4887 
HR  5037,13 21 41.6458462536,+02 05 14.060137272,16.2262 
HR  5038,13 22 52.51410,-47 56 35.5871,3.30 
HR  5039,13 23 02.5993874832,-48 33 46.042468740,2.0315 
HR  5040,13 22 09.7048864632,+05 09 17.115496380,15.1555 
HR  5041,13 24 00.4826883840,-64 32 08.411490672,12.8919 
HR  5042,13 25 07.1188965432,-74 53 16.150139880,14.4967 
HR  5043,13 23 08.6321845680,-33 11 23.563801464,2.8493 
HR  5044,13 23 01.1146683912,-17 44 06.988406028,11.0383 
HR  5045,13 22 03.9227881872,+43 54 12.126308436,7.475 
HR  5046,13 23 52.1144506728,-49 49 22.119065796,8.0443 
HR  5047,13 23 18.8935109520,-04 55 27.941788128,4.0566 
HR  5048,13 25 13.9265067624,-64 29 06.537071112,26.2629 
HR  5049,13 25 50.3011677024,-70 37 38.109211896,7.9917 
HR  5050,13 24 33.2485660488,-05 09 50.404470804,37.483 
HR  5051,13 27 18.4971552720,-74 41 30.320339064,6.6274 
HR  5052,13 23 53.9296421232,+37 02 02.117208084,2.6013 
HR  5053,13 24 30.5458662792,+12 25 54.569326764,3.6247 
HR  5054,13 23 55.5422805173,+54 55 31.295579890,40.2133 
HR  5055,13 23 56.3219129760,+54 55 18.513775632,40.2803 
HR  5056,13 25 11.57937,-11 09 40.7501,13.06 
HR  5057,13 25 06.6781079208,+23 51 15.912465444,11.2467 
HR  5058,13 26 07.8002651304,-39 45 18.308993400,15.3353 
HR  5059,13 26 11.4149726232,-01 11 32.902280340,12.8005 
HR  5060,13 26 56.1163089072,-41 29 51.219711168,2.3846 
HR  5061,13 27 06.3858489,-49 08 37.354857,2.29 
HR  5062,13 25 13.5378333,+54 59 16.654781,39.91 
HR  5063,13 27 20.6557029840,-49 22 52.649250132,1.5443 
HR  5064,13 26 43.1665407240,-12 42 27.586456056,6.6344 
HR  5065,13 27 14.6595832488,-40 09 45.585333180,10.6729 
HR  5066,13 28 46.7866924608,-69 37 37.635408696,4.5406 
HR  5067,13 26 16.6023316056,+46 01 41.004770628,9.0133 
HR  5068,13 27 27.1640367264,-15 58 24.885623784,12.0127 
HR  5069,13 29 07.9098687240,-64 40 32.882662236,10.0338 
HR  5070,13 25 59.8583988255,+63 15 40.592317556,47.8881 
HR  5071,13 29 25.2542678376,-51 09 54.473494356,7.1201 
HR  5072,13 28 25.8085908881,+13 46 43.638308807,55.2511 
HR  5073,13 26 08.0656217760,+72 23 29.306176440,3.3808 
HR  5074,13 27 04.6092292584,+64 44 07.889490312,14.4979 
HR  5075,13 27 10.5441993816,+64 43 10.320849480,14.4698 
HR  5076,13 27 59.6290628880,+52 44 44.117845836,9.9058 
HR  5077,13 28 26.2414449696,+40 43 46.720036776,7.3711 
HR  5078,13 29 14.9156636856,-01 21 51.938259372,6.3813 
HR  5079,13 28 11.7894993936,+50 35 14.233068024,7.1801 
HR  5080,13 29 42.7801586466,-23 16 52.751628992,6.7355 
HR  5081,13 29 13.0005805560,+10 49 05.913091632,11.2146 
HR  5082,13 33 13.6589148360,-77 34 09.801727929,28.9211 
HR  5083,13 28 45.8310369648,+50 43 06.864242700,12.8745 
HR  5084,13 40 55.4833464840,-85 47 09.752163108,11.4403 
HR  5085,13 28 27.0859848936,+59 56 44.832984072,13.8279 
HR  5086,13 30 00.0808917576,+07 10 43.871338848,4.6462 
HR  5087,13 29 57.6397900272,+06 00 48.707011584,7.6829 
HR  5088,13 30 25.7237418000,-06 28 12.957454488,18.1186 
HR  5089,13 31 02.6565951,-39 24 26.298992,3.60 
HR  5090,13 31 33.1681265664,-28 06 45.852270588,10.6733 
HR  5091,13 26 56.8034835936,+78 38 37.932441360,11.1974 
HR  5092,13 32 05.4258837048,-38 23 55.863359808,10.3885 
HR  5093,13 33 35.8708435176,-65 37 57.671672700,9.6572 
HR  5094,13 32 02.8064947488,-18 43 43.960235592,12.0389 
HR  5095,13 31 57.8850553,-06 15 20.941894,8.16 
HR  5096,13 31 15.7663471680,+42 06 22.152472848,13.1045 
HR  5097,13 32 35.8976110488,-28 41 33.963610020,14.7399 
HR  5098,13 32 34.4663415408,-29 33 54.941764716,20.2649 
HR  5099,13 32 51.6423178,-15 21 46.848534,6.34 
HR  5100,13 32 58.0715920586,-10 09 53.995068424,11.6520 
HR  5101,13 33 00.1101102072,-07 11 41.030844432,2.2031 
HR  5102,13 32 48.2138325552,+24 20 48.277563036,6.721 
HR  5103,13 34 28.9569448224,-48 16 19.782081552,0.9819 
HR  5104,13 34 43.5758770776,-33 18 39.078592092,5.1373 
HR  5105,13 34 07.9312445507,+03 39 32.288960317,16.4943 
HR  5106,13 34 40.4501961,-13 12 51.571563,6.75 
HR  5107,13 34 41.5913587272,-00 35 44.939098032,43.7467 
HR  5108,13 34 21.8657532288,+38 47 21.346217448,15.2814 
HR  5109,13 34 07.3053955512,+55 20 54.364619400,10.83 
HR  5110,13 34 47.8087660104,+37 10 56.691826860,21.3273 
HR  5111,13 35 31.2962831856,-05 23 46.288937688,9.7241 
HR  5112,13 34 27.2599342022,+49 00 57.499096964,17.5952 
HR  5113,13 37 12.38185,-61 41 30.7082,27.99 
HR  5114,13 35 33.4254349056,+10 12 17.860838436,8.9014 
HR  5115,13 39 11.9901541944,-75 41 01.612763556,3.7743 
HR  5116,13 35 14.0988841800,+44 11 49.362208368,8.3811 
HR  5117,13 36 50.5708633872,-34 28 04.217360376,8.1836 
HR  5118,13 37 06.0110392032,-44 08 35.529305568,8.6567 
HR  5119,13 38 45.7158662640,-70 26 41.392592772,6.9081 
HR  5120,13 36 48.51,-26 29 42.8,~ 
HR  5121,13 37 23.4760845096,-46 25 40.432277640,6.9954 
HR  5122,13 38 07.6259534320,-58 24 52.741144994,5.0255 
HR  5123,13 36 59.0823272160,+24 36 47.868709572,5.9122 
HR  5124,13 38 48.9530492472,-57 37 21.776989440,1.6663 
HR  5125,13 40 00.5474488968,-70 47 16.036507104,3.7398 
HR  5126,13 36 39.8974464216,+49 29 11.938928496,5.7375 
HR  5127,13 37 27.62782,+36 17 41.6337,16.42 
HR  5128,13 38 42.0709958256,-29 33 39.123093744,19.6131 
HR  5129,13 38 07.8883267440,+14 18 06.932355120,14.2029 
HR  5130,13 40 10.7077539336,-64 34 35.591942280,14.5177 
HR  5131,13 34 42.7522365432,+76 32 48.152140188,3.6093 
HR  5132,13 39 53.25774,-53 27 59.0081,7.63 
HR  5133,13 37 42.92771,+50 42 53.4288,2.30 
HR  5134,13 39 59.8072612685,-49 56 59.855085294,6.35 
HR  5135,13 39 40.8422916672,-39 44 51.314970120,2.9257 
HR  5136,13 39 48.5482477560,-40 03 06.146649432,6.8037 
HR  5137,13 39 02.2844002704,+18 15 55.152331812,5.622 
HR  5138,13 39 34.61613,+10 44 46.5827,16.67 
HR  5139,13 37 10.9876472376,+71 14 32.097528276,7.9077 
HR  5140,13 42 01.0842903360,-58 47 13.515787716,4.0767 
HR  5141,13 41 44.77217,-54 33 33.9275,12.02 
HR  5142,13 39 30.4479430440,+52 55 16.347483732,19.3489 
HR  5143,13 40 15.5778600264,+31 00 43.328600784,7.037 
HR  5144,13 40 40.4692226520,+19 57 20.585922228,10.3308 
HR  5145,13 40 39.0776359512,+28 03 54.584821836,5.9268 
HR  5146,13 41 30.8570683,-23 26 59.312444,4.62 
HR  5147,13 41 45.5635339752,-33 35 50.560017864,2.4007 
HR  5148,13 40 23.2320964296,+50 31 09.894067644,39.1793 
HR  5149,13 41 02.3464437048,+22 29 44.773950840,9.46 
HR  5150,13 41 36.7700844816,-08 42 10.729027692,5.4376 
HR  5151,13 42 56.1103365744,-56 46 04.686383280,1.0764 
HR  5152,13 42 54.6335904000,-50 47 24.844966620,3.1156 
HR  5153,13 40 21.3848060304,+57 12 27.374885568,11.0048 
HR  5154,13 40 44.2733508,+54 40 53.889137,6.23 
HR  5155,13 42 55.0013885112,-41 24 03.959054424,9.0624 
HR  5156,13 42 12.7604652209,+08 23 18.227677011,28.1084 
HR  5157,13 43 40.0843761109,-42 04 03.074470733,2.4995 
HR  5158,13 44 16.0025041176,-51 00 44.822666448,7.4422 
HR  5159,13 43 03.7117368757,+03 32 16.440171724,13.1749 
HR  5160,13 42 28.8064320072,+41 40 27.425956548,4.6803 
HR  5161,13 42 43.4296862592,+34 59 20.474475072,5.9897 
HR  5162,13 41 29.8927348800,+64 49 20.679363336,14.2016 
HR  5163,13 43 54.2372759928,-05 29 56.172382476,7.8334 
HR  5164,13 43 45.1634846496,+22 42 01.529402832,4.6527 
HR  5165,13 44 29.8268293824,-16 10 44.662210068,3.777 
HR  5166,13 44 45.6638403504,-25 30 03.362379696,5.2085 
HR  5167,13 45 36.8912239248,-26 06 57.636899388,11.579 
HR  5168,13 45 41.2439386102,-33 02 37.381099823,51.9074 
HR  5169,13 43 54.7781349768,+52 03 51.888118176,10.7883 
HR  5170,13 45 35.0670398304,-15 46 02.887567500,10.4739 
HR  5171,13 47 10.8637122288,-62 35 22.949098944,0.2459 
HR  5172,13 46 39.3791197929,-51 25 57.926401944,12.1389 
HR  5173,13 45 56.3205165840,-12 25 35.508051444,9.6281 
HR  5174,13 46 56.3517541416,-36 15 06.960051360,8.5328 
HR  5175,13 47 27.6376234800,-50 14 57.434503632,15.5544 
HR  5176,13 47 38.5389693936,-50 19 14.478304008,5.3133 
HR  5177,13 45 13.2127893129,+55 52 45.648023595,29.2507 
HR  5178,13 47 13.3925199528,-09 42 34.007985072,5.8968 
HR  5179,13 46 13.5455873496,+41 05 19.480664184,19.2182 
HR  5180,13 46 19.0616824776,+38 30 13.044486168,8.7255 
HR  5181,13 47 25.3912914624,-17 51 35.418569076,5.1463 
HR  5182,13 46 43.3233661056,+25 42 08.054927604,10.5423 
HR  5183,13 46 57.1225636378,+06 21 01.346102072,31.7806 
HR  5184,13 42 39.2016156192,+78 03 51.979994712,9.6277 
HR  5185,13 47 15.7381720026,+17 27 24.809555600,64.0470 
HR  5186,13 46 59.7747544992,+38 32 33.705180240,10.9069 
HR  5187,13 46 35.6567876472,+54 25 57.643558644,10.7417 
HR  5188,13 55 38.8756448856,-82 39 58.287116448,3.585 
HR  5189,13 48 55.0652037503,-35 42 15.049233110,33.3378 
HR  5190,13 49 30.2764388,-41 41 15.752069,7.47 
HR  5191,13 47 32.43776,+49 18 47.7602,31.38 
HR  5192,13 49 26.7219319935,-34 27 02.784711526,15.8468 
HR  5193,13 49 36.9886294,-42 28 25.429594,6.45 
HR  5194,13 51 47.4341580024,-69 24 04.528891980,3.3831 
HR  5195,13 48 38.7352176000,+31 11 24.744142248,10.9609 
HR  5196,13 49 52.2828951024,-18 08 03.009309756,14.1268 
HR  5197,13 50 06.5085407184,-29 04 52.764518496,9.5329 
HR  5198,13 50 19.3960870248,-39 54 03.090417588,8.4249 
HR  5199,13 48 57.0415898280,+39 32 33.173805732,2.1711 
HR  5200,13 49 28.6412870007,+15 47 52.456719303,13.4228 
HR  5201,13 49 42.8247690576,+21 15 50.764729320,4.7492 
HR  5202,13 50 34.5940454112,-19 53 52.446609024,11.7833 
HR  5203,13 42 23.1834269472,+82 45 08.710304796,8.8109 
HR  5204,13 49 44.9260076448,+36 37 58.182960360,15.3494 
HR  5205,13 50 24.6787096752,+05 29 49.996860540,6.1392 
HR  5206,13 51 47.2155271416,-46 53 55.199706720,3.0685 
HR  5207,13 52 04.8623039016,-52 48 41.506341048,10.7449 
HR  5208,13 51 36.4952653512,-36 25 59.808023832,16.1018 
HR  5209,13 51 20.3417568044,-24 23 25.843045584,53.8785 
HR  5210,13 51 49.60136,-32 59 38.7067,9.49 
HR  5211,13 51 50.2001706768,-32 59 40.835351220,10.2148 
HR  5212,13 52 00.9812162256,-31 37 08.992655652,19.5655 
HR  5213,13 49 45.5169540576,+61 29 21.506455104,9.0169 
HR  5214,13 51 04.5331358736,+34 46 21.059018256,10.9531 
HR  5215,13 51 09.2157227640,+34 39 51.833773656,4.0973 
HR  5216,13 50 27.7436798232,+58 32 22.044103116,11.7452 
HR  5217,13 53 43.0934737824,-53 22 23.956349160,3.5055 
HR  5218,13 54 49.1103796200,-67 39 07.565364576,3.4823 
HR  5219,13 51 47.4753428,+34 26 39.261252,5.43 
HR  5220,13 52 18.4064027184,+12 09 54.497118312,9.891 
HR  5221,13 53 12.5382897240,-31 55 39.430392240,4.8225 
HR  5222,13 53 32.76039,-35 39 51.3200,19.13 
HR  5223,13 53 57.2397645360,-47 07 41.390612184,1.4567 
HR  5224,13 53 52.0613118474,-35 18 51.691786471,15.6261 
HR  5225,13 53 12.9300854664,+17 55 58.327270932,5.3058 
HR  5226,13 51 25.9393781,+64 43 23.772696,8.78 
HR  5227,13 50 59.1186546840,+68 18 55.076466168,9.9142 
HR  5228,13 54 16.6405572696,-28 34 10.615888776,15.6498 
HR  5229,13 53 10.2817568232,+28 38 53.275498368,13.5993 
HR  5230,13 55 12.1422664176,-52 09 38.957327676,8.3224 
HR  5231,13 55 32.38565,-47 17 18.1482,8.54 
HR  5232,13 54 42.1451337000,-01 30 11.241795960,13.0011 
HR  5233,13 54 58.20132,-08 03 31.8395,30.23 
HR  5234,13 56 19.96521,-54 07 56.7142,7.15 
HR  5235,13 54 41.07892,+18 23 51.7946,87.75 
HR  5236,13 56 32.9436065448,-54 42 16.783257240,24.8068 
HR  5237,13 55 44.4365236800,-31 17 05.826915852,6.7285 
HR  5238,13 53 51.0140209224,+53 43 43.235077944,6.8659 
HR  5239,13 56 19.7763079968,-46 35 34.616994576,10.7865 
HR  5240,14 00 32.8114336464,-78 35 23.930826036,4.2166 
HR  5241,13 57 38.8835769912,-63 41 12.113940624,15.2855 
HR  5242,13 58 31.2367750512,-65 48 02.401652736,6.8514 
HR  5243,13 55 49.9935853152,+14 03 23.407899444,40.7997 
HR  5244,13 56 27.8767450392,+01 03 02.089900836,11.3738 
HR  5245,13 56 10.4597488344,+32 01 57.340912296,15.131 
HR  5246,13 57 27.7256207088,-23 01 21.472032144,5.2556 
HR  5247,13 56 34.1810272752,+27 29 31.493189040,5.2113 
HR  5248,13 58 16.2668006,-42 06 02.714311,6.21 
HR  5249,13 58 40.7486851,-44 48 12.908967,7.63 
HR  5250,13 58 31.1463625431,-24 58 20.108193627,8.6694 
HR  5251,13 59 17.4840079152,-50 22 10.732150956,8.3199 
HR  5252,14 00 17.3911443816,-61 28 51.698057988,16.8565 
HR  5253,14 00 52.4447019120,-66 16 08.079784752,13.8056 
HR  5254,13 58 39.9070747488,+14 38 57.385659120,5.9242 
HR  5255,13 58 38.9229420984,+21 41 46.319545932,5.926 
HR  5256,13 57 32.0583598200,+61 29 34.300122540,99.3325 
HR  5257,14 00 00.1207098672,-25 00 37.456449156,16.7712 
HR  5258,13 59 49.2755873136,-03 32 59.285737320,11.6103 
HR  5259,14 01 19.0557127056,-40 13 18.975370584,3.9199 
HR  5260,14 01 43.5069676512,-45 36 12.274581744,4.9056 
HR  5261,14 05 19.8809399288,-76 47 48.342695604,8.3808 
HR  5262,14 01 20.4264941184,+08 53 41.617038696,12.1757 
HR  5263,14 01 10.4807176224,+27 23 11.745150684,9.8333 
HR  5264,14 01 38.7935506885,+01 32 40.310188175,14.3831 
HR  5265,14 02 22.7821310616,-27 25 47.192750976,6.6662 
HR  5266,14 03 26.5063325736,-56 12 48.363935220,6.2277 
HR  5267,14 03 49.40535,-60 22 22.9266,8.32 
HR  5268,14 03 01.72256,-31 41 02.5287,26.20 
HR  5269,14 03 27.4674533712,-41 25 24.032196948,6.5368 
HR  5270,14 02 31.8455084952,+09 41 09.944391876,3.0991 
HR  5271,14 02 12.1889615088,+45 45 12.448713960,6.0578 
